session_id,pipeline_hash,pipeline_type,module_count,linked_shader_modules,compressed_size_bytes,uncompressed_size_bytes,inspection_priority_score,track_a_confidence
remnant2__ward13_idle__20260405_120000,00425b93a4329868,computePipeline,1,e4e11cc77a498f8f,183,237,740,unresolved
remnant2__ward13_idle__20260405_120000,004f5751b98b7f28,computePipeline,1,c5ee926cba024aa6,183,237,740,unresolved
remnant2__ward13_idle__20260405_120000,00503939301fb3e8,computePipeline,1,c1d4ec90cb4e804a,182,237,739,unresolved
remnant2__ward13_idle__20260405_120000,0058e5faf0219da8,computePipeline,1,b3631bffe21ad3d7,182,237,739,unresolved
remnant2__ward13_idle__20260405_120000,005a4d2c3a29cb31,computePipeline,1,6720f728797656d1,183,237,740,unresolved
remnant2__ward13_idle__20260405_120000,0068eccd7e4901ad,computePipeline,1,b732668373934520,183,237,740,unresolved
remnant2__ward13_idle__20260405_120000,0071bda33a653667,computePipeline,1,b09cc214b30f6b8f,183,237,740,unresolved
remnant2__ward13_idle__20260405_120000,0076d93321b8d989,computePipeline,1,dc27fe909a99bfbd,184,237,741,unresolved
remnant2__ward13_idle__20260405_120000,007fd0584b4b15de,computePipeline,1,e77a901450d821f8,184,237,741,unresolved
remnant2__ward13_idle__20260405_120000,0087eee7ff84f817,computePipeline,1,e3abe649292a6cf0,183,237,740,unresolved
remnant2__ward13_idle__20260405_120000,008bbaa9f60e89d3,computePipeline,1,91daca819773e96c,181,237,738,unresolved
remnant2__ward13_idle__20260405_120000,008e75a31276a46b,computePipeline,1,6969a1c552d000c8,182,237,739,unresolved
remnant2__ward13_idle__20260405_120000,008f75e1e0cb0f09,computePipeline,1,f20f48ab5d96a1e8,184,237,741,unresolved
remnant2__ward13_idle__20260405_120000,00a5b679adea91ae,computePipeline,1,97bb7dfe4682160a,184,237,741,unresolved
remnant2__ward13_idle__20260405_120000,00aa8ef07015ca09,computePipeline,1,9559c9508ab061e9,182,237,739,unresolved
remnant2__ward13_idle__20260405_120000,00aff07b60941773,computePipeline,1,6ec3d322ef1ac01d,183,237,740,unresolved
remnant2__ward13_idle__20260405_120000,00d89a9561bb419c,computePipeline,1,f8ca1c5a3173592c,184,237,741,unresolved
remnant2__ward13_idle__20260405_120000,00dd2353c663ce22,computePipeline,1,4c8589b77412d3c5,183,237,740,unresolved
remnant2__ward13_idle__20260405_120000,00e512861c46444a,computePipeline,1,ce7d17b4b665a60c,182,237,739,unresolved
remnant2__ward13_idle__20260405_120000,00eab89629d02142,computePipeline,1,4c8a7da09d2cc934,182,237,739,unresolved
remnant2__ward13_idle__20260405_120000,00fc305a5fa98568,computePipeline,1,f3ea0ff27a026f74,183,237,740,unresolved
remnant2__ward13_idle__20260405_120000,00fc57d0d5fac89d,computePipeline,1,858fed73d35dcda0,183,237,740,unresolved
remnant2__ward13_idle__20260405_120000,00ff0a11cbf8af28,computePipeline,1,884a246a32c29eac,181,237,738,unresolved
remnant2__ward13_idle__20260405_120000,0116f543a8d7b196,computePipeline,1,e577615c265e9cc8,184,237,741,unresolved
remnant2__ward13_idle__20260405_120000,0117b167c460e538,computePipeline,1,4073e6600cadfae2,183,237,740,unresolved
remnant2__ward13_idle__20260405_120000,011eae361f0d6e52,computePipeline,1,bf787b35f5a3ce7f,182,237,739,unresolved
remnant2__ward13_idle__20260405_120000,012963298af11899,computePipeline,1,add2f71a75e39393,182,237,739,unresolved
remnant2__ward13_idle__20260405_120000,013154e270452e42,computePipeline,1,cf53207074c65354,182,237,739,unresolved
remnant2__ward13_idle__20260405_120000,01407043b6218ab2,computePipeline,1,f87506704f0e8304,183,237,740,unresolved
remnant2__ward13_idle__20260405_120000,0147b4bf2c7261af,computePipeline,1,34fff8ee4aacb279,183,237,740,unresolved
remnant2__ward13_idle__20260405_120000,014ad0da8485f65d,computePipeline,1,a6d32c44022d0e0d,182,237,739,unresolved
